tickerdate,aapl,qcom,intc,avgo,gm,nvda,soxx,spy,fslr
1/2/2015,109.33,74.27,36.36,100.09,34.84,20.13,92.8,204.97,44.55
1/5/2015,106.28,73.92,35.95,98.49,34.34,19.79,91.08,201.76,41.69
1/6/2015,106.29,72.92,35.28,96.25,34.86,19.19,89.06,199.74,40.86
1/7/2015,107.75,73.73,36.02,98.85,35.84,19.14,89.93,202.23,41.75
1/8/2015,111.89,74.5,36.73,103.79,36.2,19.86,92.59,205.91,43.63
1/9/2015,112.02,74.42,36.76,104.9,35.6,19.94,92.67,204.07,44.2
1/12/2015,109.23,73.57,36.64,103.16,35.86,19.69,90.81,202.63,42.83
1/13/2015,110.22,72.97,36.55,102.58,35.25,19.66,89.96,202,42.71
1/14/2015,109.72,72.17,36.33,103.39,34.29,19.74,89.4,200.9,42.28
1/15/2015,106.82,71.38,35.95,101.32,33.42,19.6,88.74,199.29,40.16
1/16/2015,105.96,71.29,36.45,103.82,33.65,19.96,89.72,201.59,40.72
1/20/2015,108.72,72.8,36.09,104.87,33.93,20.02,90.64,201.94,39.83
1/21/2015,109.55,71.59,36.48,105.38,33.89,20.3,91.66,203.07,41.4
1/22/2015,112.4,71.91,36.91,105.2,33.82,20.65,92.16,206,41.89
1/23/2015,112.98,72.18,36.45,107.05,33.75,20.71,91.99,204.95,42.54
1/26/2015,112.9,72.68,35.81,106.73,33.69,20.62,92.23,205.48,44.17
1/27/2015,109.36,71.74,34.19,104.79,33.41,19.66,90.51,202.89,43.72
1/28/2015,115.31,70.9,33.78,105,32.82,19.31,90.09,200.07,42.7
1/29/2015,118.9,63.69,34.21,106.53,33.16,19.78,90.11,201.91,42.36
1/30/2015,117.15,62.46,33.04,102.88,32.62,19.21,88.36,199.36,42.32
2/2/2015,118.49,65.53,33.65,102.42,33.11,19.62,88.6,201.95,44.29
2/3/2015,118.64,66.96,33.7,103.2,33.98,20.11,90.16,204.78,47.21
2/4/2015,119.45,66.91,33.56,104.8,35.82,20.16,90.51,203.7,47.3
2/5/2015,119.94,67.95,33.94,106.2,36.25,20.49,91.39,206.09,47.53
2/6/2015,118.86,66.35,33.29,104.74,35.99,20.42,90.89,205.46,47.59
2/9/2015,119.75,67.28,32.93,102.24,36,20.38,89.93,204.56,46.83
2/10/2015,122.08,70.31,33.7,107.04,37.52,20.95,92.98,206.77,45.2
2/11/2015,124.85,70.21,33.53,107.93,37.67,20.81,93.28,206.95,49.25
2/12/2015,126.36,70.39,34.13,109.7,38.02,22.3,94.68,208.89,49.64
2/13/2015,127.06,70.88,34.36,110.15,37.6,22.31,95.45,209.82,49.09
2/17/2015,127.7,70.8,34.73,110.87,37.22,22.38,95.73,210.14,49.28
2/18/2015,128.71,70.41,34.28,110,37.17,22.14,95.47,210.05,49.95
2/19/2015,128.47,70.98,34.21,110.9,37.51,22.18,95.74,210.05,48.7
2/20/2015,129.46,71.52,34.41,112.06,37.65,22.34,96.31,211.2,49.58
2/23/2015,133,70.94,33.75,112.85,37.69,22.16,95.7,211.22,49.2
2/24/2015,132.17,71.37,34.47,113.18,37.75,22.31,96.98,211.83,57.4
2/25/2015,128.74,71.68,33.94,112.68,37.86,22.14,96.45,211.63,57.96
2/26/2015,130.37,72.01,33.65,129.3,37.55,22.2,97.09,211.4,58.49
2/27/2015,128.45,72.5,33.26,127.62,37.32,22.06,96.84,210.78,58.92
3/2/2015,128.93,72.61,34.06,129.04,37.61,22.59,99.09,212.02,61.11
3/3/2015,129.33,71.41,34.1,128.22,37.8,22.18,98.41,211.07,60.69
3/4/2015,128.54,70.85,34.12,129.4,37.57,22.43,96.78,210.2,61.2
3/5/2015,126.31,70.93,33.73,130.57,37.61,22.86,97.94,210.48,61.66
3/6/2015,126.59,71.51,33.21,127.89,36.83,22.55,97.07,207.46,60.61
3/9/2015,127.17,72.71,32.72,127.12,37.66,22.61,96.62,208.37,61.06
3/10/2015,124.74,72.14,31.7,125.12,37.58,23,95.38,204.98,59.86
3/11/2015,122.3,70.27,32.33,124.66,37.78,23.08,95.78,204.43,59.29
3/12/2015,124.52,69.46,30.79,126.12,38.45,22.67,94.97,207.11,60.61
3/13/2015,123.58,68.63,30.93,125,38.05,22.7,95.14,205.77,60.5
3/16/2015,124.86,70,30.83,129.87,38.58,22.97,96.97,208.6,60.22
3/17/2015,127.15,69.83,30.59,129.1,38.28,23.25,96.32,207.87,60.4
3/18/2015,128.36,70.23,30.89,130.44,38.5,22.87,96.17,210.43,61.43
3/19/2015,127.38,69.83,30.75,132.04,38.66,23.22,97.56,209.47,60.3
3/20/2015,126.91,70.04,31.31,133.29,38.83,23.47,99.11,210.39,60.26
3/23/2015,127.3,70.07,31.2,134.44,38.59,22.67,98.59,209.95,60.58
3/24/2015,126.69,68.98,30.8,133.12,37.85,22.41,98.11,208.81,62.52
3/25/2015,123.48,67.21,29.86,124.43,37.38,21.04,93.73,205.85,60.09
3/26/2015,124.26,67.16,30.05,124.71,37.35,20.97,91.83,205.25,59.62
3/27/2015,123.25,67.03,31.97,128.21,37.31,21.38,91.36,205.67,59.61
3/30/2015,126.37,68.88,31.46,130.55,37.68,21.47,95.06,208.22,60.69
3/31/2015,124.44,69.34,31.27,126.98,37.48,20.93,94.13,206.34,59.79
4/1/2015,124.32,69.43,30.81,125.63,36.74,21.01,93.43,205.81,60.83
4/2/2015,125.4,67.89,30.81,125.02,36.49,21.06,93.28,206.35,61.19
4/6/2015,127.37,67.78,31.04,125.83,36.66,21.67,93.6,207.77,61.51
4/7/2015,126,67.32,31.26,125.65,35.73,21.86,93.65,207.35,61.27
4/8/2015,125.6,67.26,31.31,126.79,36.11,22.02,94.23,207.99,60.65
4/9/2015,126.55,68.81,31.25,127.22,36.29,22.53,95.42,208.87,61.18
4/10/2015,127.12,69.16,31.96,126.75,36.58,22.76,95.82,210.02,61.3
4/13/2015,126.99,68.67,31.73,125.35,36.4,22.55,95.22,209.05,61.41
4/14/2015,126.2,68.91,32.07,123.98,36.48,22.36,94.29,209.49,61.07
